model,n_train,mean_mae_pct,std_mae_pct,n_repeats
esn,9,6.5624,0.6743,30
esn,12,6.535,0.7647,30
esn,15,6.826,0.9712,30
esn,18,6.4641,1.1974,30
gp,9,4.8095,1.3928,30
gp,12,2.3177,0.757,30
gp,15,1.7485,0.6266,30
gp,18,1.1566,0.6053,30
qrc,9,4.3212,2.1599,30
qrc,12,4.1079,2.2632,30
qrc,15,3.2504,2.2491,30
qrc,18,3.5674,2.2842,30
ridge,9,1.5871,0.3585,30
ridge,12,1.567,0.3839,30
ridge,15,1.3707,0.5154,30
ridge,18,1.3568,0.4759,30
xgboost,9,2.6905,0.8208,30
xgboost,12,2.467,0.4929,30
xgboost,15,2.2097,0.6072,30
xgboost,18,2.0234,0.5086,30
